0786200081	9780786200085	Aaron	David	Crossing by Night
0451411145	9780451411143	Abbott	Jeff	Cut and Run
0525949720	9780525949725	Abbott	Jeff	Fear
031293971X	9780312939717	Ablow	Keith	Architect, The
0312323891	9780312323899	Ablow	Keith	Murder Suicide
0345435036	9780345435033	Abrahams	Peter	Crying Wolf
0609601032	9780609601037	Adams	Douglas	Starship Titanic
0802733107	9780802733108	Adams	Harold	Ice Pick Artist, The
0425166112	9780425166116	Albert	Susan Wittig	Love Lies Bleeding
0802757243	9780802757241	Alexander	Gary	Unfunny Money
031224116X	9780312241162	Allen	Conrad	Murder on the Mauretania
1575665298	9781575665290	Allen	Steve	Murder in Hawaii
0765340240	9780765340245	Alten	Steve	Goliath
0399150404	9780399150401	Altman	John	Deception
0515134635	9780515134636	Altman	John	Game of Spies, A
0446523445	9780446523448	Ambrose	David	Superstition
0385491328	9780385491327	Andahazi	Federico	Anatomist, The
0812550188	9780812550184	Anderson	Kevin J.	Ill Wind
0892967919	9780892967919	Andrews	Russel	Midas
0671640453	9780671640453	Andrews	V.C.	Flowers in the Attic
0679448594	9780679448594	Anonymous		Primary Colors
0312365675	9780312365677	Anscombe	Roderick	Virgin Lies: A Novel
0312353723	9780312353728	Archer	Jeffrey	False impression
0002253186	9780002253185	Archer	Jeffrey	Fourth Estate, The
0061092045	9780061092046	Archer	Jeffrey	Honor Among Thieves
1569472327	9781569472323	Arnott	Jake	Long Firm, The
0451217489	9780451217486	Arruda	Suzanne	Mark of the Lion
0553581546	9780553581546	Asaro	Catherine	Phoenix Code, The
0060004606	9780060004606	Atkins	Ace	Dark End of the Street
0399155368	9780399155369	Atkins	Ace	Devil's Garden
0399154574	9780399154577	Atkins	Ace	Wicked City
0316154849	9780316154840	Atkinson	Kate	One good turn
0060193093	9780060193096	Baker	Kevin	Dreamland
0446603589	9780446603584	Baldacci	David	Absolute Power
0446564087	9780446564083	Baldacci	David	Deliver Us From Evil
0446195502	9780446195508	Baldacci	David	Divine Justice
0446195529	9780446195522	Baldacci	David	Hell's Corner
0446580341	9780446580342	Baldacci	David	Simple genius
0446522597	9780446522595	Baldacci	David	Winner, The
0446573019	9780446573016	Baldacci	David	Zero Day
0002241358	9780002241359	Ballard	J.G.	Cocaine Nights
